id,displayName,location,name,shortDisplayName,abbreviation,color,alternateColor,logoURL,league
333,Alabama Crimson Tide,Alabama,Crimson Tide,Alabama,ALA,9e1632,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/333.png,CFB
338,Kennesaw State Owls,Kennesaw State,Owls,Kennesaw St,KENN,fdbb30,000000,https://a.espncdn.com/i/teamlogos/ncaa/500/338.png,CFB
344,Mississippi State Bulldogs,Mississippi State,Bulldogs,Mississippi St,MSST,5d1725,c1c6c8,https://a.espncdn.com/i/teamlogos/ncaa/500/344.png,CFB
349,Army Black Knights,Army,Black Knights,Army,ARMY,ce9c00,231f20,https://a.espncdn.com/i/teamlogos/ncaa/500/349.png,CFB
356,Illinois Fighting Illini,Illinois,Fighting Illini,Illinois,ILL,ff5f05,13294b,https://a.espncdn.com/i/teamlogos/ncaa/500/356.png,CFB
2005,Air Force Falcons,Air Force,Falcons,Air Force,AFA,003594,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/2005.png,CFB
2006,Akron Zips,Akron,Zips,Akron,AKR,00285e,84754e,https://a.espncdn.com/i/teamlogos/ncaa/500/2006.png,CFB
2026,App State Mountaineers,App State,Mountaineers,App State,APP,000000,ffcd00,https://a.espncdn.com/i/teamlogos/ncaa/500/2026.png,CFB
2032,Arkansas State Red Wolves,Arkansas State,Red Wolves,Arkansas St,ARST,e81018,000000,https://a.espncdn.com/i/teamlogos/ncaa/500/2032.png,CFB
2050,Ball State Cardinals,Ball State,Cardinals,Ball State,BALL,DA0000,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/2050.png,CFB
2084,Buffalo Bulls,Buffalo,Bulls,Buffalo,BUFF,041A9B,ebebeb,https://a.espncdn.com/i/teamlogos/ncaa/500/2084.png,CFB
2116,UCF Knights,UCF,Knights,UCF,UCF,000000,b4a269,https://a.espncdn.com/i/teamlogos/ncaa/500/2116.png,CFB
2117,Central Michigan Chippewas,Central Michigan,Chippewas,C Michigan,CMU,6a0032,ffc82e,https://a.espncdn.com/i/teamlogos/ncaa/500/2117.png,CFB
2132,Cincinnati Bearcats,Cincinnati,Bearcats,Cincinnati,CIN,000000,717073,https://a.espncdn.com/i/teamlogos/ncaa/500/2132.png,CFB
2199,Eastern Michigan Eagles,Eastern Michigan,Eagles,E Michigan,EMU,00331b,f0f0f0,https://a.espncdn.com/i/teamlogos/ncaa/500/2199.png,CFB
2226,Florida Atlantic Owls,Florida Atlantic,Owls,FAU,FAU,00447c,d31245,https://a.espncdn.com/i/teamlogos/ncaa/500/2226.png,CFB
2229,Florida International Panthers,Florida International,Panthers,FIU,FIU,001538,c5960c,https://a.espncdn.com/i/teamlogos/ncaa/500/2229.png,CFB
2247,Georgia State Panthers,Georgia State,Panthers,Georgia St,GAST,1e539a,ebebeb,https://a.espncdn.com/i/teamlogos/ncaa/500/2247.png,CFB
2294,Iowa Hawkeyes,Iowa,Hawkeyes,Iowa,IOWA,000000,fcd116,https://a.espncdn.com/i/teamlogos/ncaa/500/2294.png,CFB
2305,Kansas Jayhawks,Kansas,Jayhawks,Kansas,KU,0051ba,e8000d,https://a.espncdn.com/i/teamlogos/ncaa/500/2305.png,CFB
2306,Kansas State Wildcats,Kansas State,Wildcats,Kansas St,KSU,3c0969,e2e3e4,https://a.espncdn.com/i/teamlogos/ncaa/500/2306.png,CFB
2309,Kent State Golden Flashes,Kent State,Golden Flashes,Kent State,KENT,003976,efab00,https://a.espncdn.com/i/teamlogos/ncaa/500/2309.png,CFB
2335,Liberty Flames,Liberty,Flames,Liberty,LIB,071740,a61f21,https://a.espncdn.com/i/teamlogos/ncaa/500/2335.png,CFB
2348,Louisiana Tech Bulldogs,Louisiana Tech,Bulldogs,Louisiana Tech,LT,002d65,d3313a,https://a.espncdn.com/i/teamlogos/ncaa/500/2348.png,CFB
2390,Miami Hurricanes,Miami,Hurricanes,Miami,MIA,005030,f47321,https://a.espncdn.com/i/teamlogos/ncaa/500/2390.png,CFB
2393,Middle Tennessee Blue Raiders,Middle Tennessee,Blue Raiders,MTSU,MTSU,006db6,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/2393.png,CFB
2426,Navy Midshipmen,Navy,Midshipmen,Navy,NAVY,00225b,b5a67c,https://a.espncdn.com/i/teamlogos/ncaa/500/2426.png,CFB
2429,Charlotte 49ers,Charlotte,49ers,Charlotte,CLT,ffffff,cfab7a,https://a.espncdn.com/i/teamlogos/ncaa/500/2429.png,CFB
2433,UL Monroe Warhawks,UL Monroe,Warhawks,UL Monroe,ULM,231F20,b18445,https://a.espncdn.com/i/teamlogos/ncaa/500/2433.png,CFB
2439,UNLV Rebels,UNLV,Rebels,UNLV,UNLV,b10202,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/2439.png,CFB
2440,Nevada Wolf Pack,Nevada,Wolf Pack,Nevada,NEV,002d62,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/2440.png,CFB
2459,Northern Illinois Huskies,Northern Illinois,Huskies,N Illinois,NIU,F1122C,cc0000,https://a.espncdn.com/i/teamlogos/ncaa/500/2459.png,CFB
2483,Oregon Ducks,Oregon,Ducks,Oregon,ORE,007030,fee11a,https://a.espncdn.com/i/teamlogos/ncaa/500/2483.png,CFB
2509,Purdue Boilermakers,Purdue,Boilermakers,Purdue,PUR,000000,cfb991,https://a.espncdn.com/i/teamlogos/ncaa/500/2509.png,CFB
2534,Sam Houston Bearkats,Sam Houston,Bearkats,Sam Houston,SHSU,fe5000,000000,https://a.espncdn.com/i/teamlogos/ncaa/500/2534.png,CFB
2567,SMU Mustangs,SMU,Mustangs,SMU,SMU,354ca1,cc0035,https://a.espncdn.com/i/teamlogos/ncaa/500/2567.png,CFB
2572,Southern Miss Golden Eagles,Southern Miss,Golden Eagles,Southern Miss,USM,FFAA3C,ffc423,https://a.espncdn.com/i/teamlogos/ncaa/500/2572.png,CFB
2579,South Carolina Gamecocks,South Carolina,Gamecocks,South Carolina,SC,73000a,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/2579.png,CFB
2623,Missouri State Bears,Missouri State,Bears,Missouri St,MOST,5F0000,e8e8e8,https://a.espncdn.com/i/teamlogos/ncaa/500/2623.png,CFB
2628,TCU Horned Frogs,TCU,Horned Frogs,TCU,TCU,4d1979,f1f2f3,https://a.espncdn.com/i/teamlogos/ncaa/500/2628.png,CFB
2633,Tennessee Volunteers,Tennessee,Volunteers,Tennessee,TENN,ff8200,58595b,https://a.espncdn.com/i/teamlogos/ncaa/500/2633.png,CFB
2636,UTSA Roadrunners,UTSA,Roadrunners,UTSA,UTSA,002A5C,f47321,https://a.espncdn.com/i/teamlogos/ncaa/500/2636.png,CFB
2638,UTEP Miners,UTEP,Miners,UTEP,UTEP,ff8200,041e42,https://a.espncdn.com/i/teamlogos/ncaa/500/2638.png,CFB
2641,Texas Tech Red Raiders,Texas Tech,Red Raiders,Texas Tech,TTU,000000,da291c,https://a.espncdn.com/i/teamlogos/ncaa/500/2641.png,CFB
2649,Toledo Rockets,Toledo,Rockets,Toledo,TOL,0a2240,ffcd00,https://a.espncdn.com/i/teamlogos/ncaa/500/2649.png,CFB
2653,Troy Trojans,Troy,Trojans,Troy,TROY,AE0210,88898c,https://a.espncdn.com/i/teamlogos/ncaa/500/2653.png,CFB
2655,Tulane Green Wave,Tulane,Green Wave,Tulane,TULN,006547,468ac9,https://a.espncdn.com/i/teamlogos/ncaa/500/2655.png,CFB
2711,Western Michigan Broncos,Western Michigan,Broncos,W Michigan,WMU,532e1f,8b7f79,https://a.espncdn.com/i/teamlogos/ncaa/500/2711.png,CFB
2751,Wyoming Cowboys,Wyoming,Cowboys,Wyoming,WYO,492f24,ffc425,https://a.espncdn.com/i/teamlogos/ncaa/500/2751.png,CFB
