id,displayName,location,name,shortDisplayName,abbreviation,color,alternateColor,logoURL,league,app-id
14,Los Angeles Rams,Los Angeles,Rams,Rams,LAR,003594,ffd100,https://a.espncdn.com/i/teamlogos/nfl/500/lar.png,NFL,13
15,Miami Dolphins,Miami,Dolphins,Dolphins,MIA,008e97,fc4c02,https://a.espncdn.com/i/teamlogos/nfl/500/mia.png,NFL,14
16,Minnesota Vikings,Minnesota,Vikings,Vikings,MIN,4f2683,ffc62f,https://a.espncdn.com/i/teamlogos/nfl/500/min.png,NFL,15
17,New England Patriots,New England,Patriots,Patriots,NE,002a5c,c60c30,https://a.espncdn.com/i/teamlogos/nfl/500/ne.png,NFL,16
18,New Orleans Saints,New Orleans,Saints,Saints,NO,d3bc8d,000000,https://a.espncdn.com/i/teamlogos/nfl/500/no.png,NFL,17
19,New York Giants,New York,Giants,Giants,NYG,003c7f,c9243f,https://a.espncdn.com/i/teamlogos/nfl/500/nyg.png,NFL,18
20,New York Jets,New York,Jets,Jets,NYJ,115740,ffffff,https://a.espncdn.com/i/teamlogos/nfl/500/nyj.png,NFL,19
21,Philadelphia Eagles,Philadelphia,Eagles,Eagles,PHI,06424d,000000,https://a.espncdn.com/i/teamlogos/nfl/500/phi.png,NFL,20
22,Arizona Cardinals,Arizona,Cardinals,Cardinals,ARI,a40227,ffffff,https://a.espncdn.com/i/teamlogos/nfl/500/ari.png,NFL,21
23,Pittsburgh Steelers,Pittsburgh,Steelers,Steelers,PIT,000000,ffb612,https://a.espncdn.com/i/teamlogos/nfl/500/pit.png,NFL,22
24,Los Angeles Chargers,Los Angeles,Chargers,Chargers,LAC,0080c6,ffc20e,https://a.espncdn.com/i/teamlogos/nfl/500/lac.png,NFL,23
25,San Francisco 49ers,San Francisco,49ers,49ers,SF,aa0000,b3995d,https://a.espncdn.com/i/teamlogos/nfl/500/sf.png,NFL,24
26,Seattle Seahawks,Seattle,Seahawks,Seahawks,SEA,002a5c,69be28,https://a.espncdn.com/i/teamlogos/nfl/500/sea.png,NFL,25
27,Tampa Bay Buccaneers,Tampa Bay,Buccaneers,Buccaneers,TB,bd1c36,3e3a35,https://a.espncdn.com/i/teamlogos/nfl/500/tb.png,NFL,26
28,Washington Commanders,Washington,Commanders,Commanders,WSH,5a1414,ffb612,https://a.espncdn.com/i/teamlogos/nfl/500/wsh.png,NFL,27
29,Carolina Panthers,Carolina,Panthers,Panthers,CAR,0085ca,000000,https://a.espncdn.com/i/teamlogos/nfl/500/car.png,NFL,28
30,Jacksonville Jaguars,Jacksonville,Jaguars,Jaguars,JAX,007487,d7a22a,https://a.espncdn.com/i/teamlogos/nfl/500/jax.png,NFL,29
33,Baltimore Ravens,Baltimore,Ravens,Ravens,BAL,29126f,000000,https://a.espncdn.com/i/teamlogos/nfl/500/bal.png,NFL,30
34,Houston Texans,Houston,Texans,Texans,HOU,00143f,c41230,https://a.espncdn.com/i/teamlogos/nfl/500/hou.png,NFL,31
2,Auburn Tigers,Auburn,Tigers,Auburn,AUB,002b5c,f26522,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,CFB,32
5,UAB Blazers,UAB,Blazers,UAB,UAB,003b28,ffc845,https://a.espncdn.com/i/teamlogos/ncaa/500/5.png,CFB,33
6,South Alabama Jaguars,South Alabama,Jaguars,South Alabama,USA,003E7E,,https://a.espncdn.com/i/teamlogos/ncaa/500/6.png,CFB,34
8,Arkansas Razorbacks,Arkansas,Razorbacks,Arkansas,ARK,a41f35,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/8.png,CFB,35
9,Arizona State Sun Devils,Arizona State,Sun Devils,Arizona St,ASU,8e0c3a,ffc72c,https://a.espncdn.com/i/teamlogos/ncaa/500/9.png,CFB,36
12,Arizona Wildcats,Arizona,Wildcats,Arizona,ARIZ,0c234b,ab0520,https://a.espncdn.com/i/teamlogos/ncaa/500/12.png,CFB,37
21,San Diego State Aztecs,San Diego State,Aztecs,San Diego St,SDSU,c41230,000000,https://a.espncdn.com/i/teamlogos/ncaa/500/21.png,CFB,38
23,San José State Spartans,San José State,Spartans,San José St,SJSU,005893,fdba31,https://a.espncdn.com/i/teamlogos/ncaa/500/23.png,CFB,39
24,Stanford Cardinal,Stanford,Cardinal,Stanford,STAN,8c1515,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/24.png,CFB,40
25,California Golden Bears,California,Golden Bears,California,CAL,031522,ffc423,https://a.espncdn.com/i/teamlogos/ncaa/500/25.png,CFB,41
26,UCLA Bruins,UCLA,Bruins,UCLA,UCLA,2774ae,f2a900,https://a.espncdn.com/i/teamlogos/ncaa/500/26.png,CFB,42
30,USC Trojans,USC,Trojans,USC,USC,9e2237,ffcc00,https://a.espncdn.com/i/teamlogos/ncaa/500/30.png,CFB,43
36,Colorado State Rams,Colorado State,Rams,Colorado St,CSU,1e4d2b,c8c372,https://a.espncdn.com/i/teamlogos/ncaa/500/36.png,CFB,44
38,Colorado Buffaloes,Colorado,Buffaloes,Colorado,COLO,000000,cfb87c,https://a.espncdn.com/i/teamlogos/ncaa/500/38.png,CFB,45
41,UConn Huskies,UConn,Huskies,UConn,CONN,0c2340,f1f2f3,https://a.espncdn.com/i/teamlogos/ncaa/500/41.png,CFB,46
48,Delaware Blue Hens,Delaware,Blue Hens,Delaware,DEL,033594,e8ce31,https://a.espncdn.com/i/teamlogos/ncaa/500/48.png,CFB,47
52,Florida State Seminoles,Florida State,Seminoles,Florida St,FSU,782f40,ceb888,https://a.espncdn.com/i/teamlogos/ncaa/500/52.png,CFB,48
55,Jacksonville State Gamecocks,Jacksonville State,Gamecocks,Jax State,JVST,b50500,b5b7ba,https://a.espncdn.com/i/teamlogos/ncaa/500/55.png,CFB,49
57,Florida Gators,Florida,Gators,Florida,FLA,0021a5,fa4616,https://a.espncdn.com/i/teamlogos/ncaa/500/57.png,CFB,50
58,South Florida Bulls,South Florida,Bulls,South Florida,USF,004A36,231f20,https://a.espncdn.com/i/teamlogos/ncaa/500/58.png,CFB,51
59,Georgia Tech Yellow Jackets,Georgia Tech,Yellow Jackets,Georgia Tech,GT,003057,b3a369,https://a.espncdn.com/i/teamlogos/ncaa/500/59.png,CFB,52
61,Georgia Bulldogs,Georgia,Bulldogs,Georgia,UGA,ba0c2f,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/61.png,CFB,53
62,Hawai'i Rainbow Warriors,Hawai'i,Rainbow Warriors,Hawai'i,HAW,003420,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/62.png,CFB,54
66,Iowa State Cyclones,Iowa State,Cyclones,Iowa State,ISU,822433,fdca2f,https://a.espncdn.com/i/teamlogos/ncaa/500/66.png,CFB,55
68,Boise State Broncos,Boise State,Broncos,Boise St,BOIS,0033a0,fa4616,https://a.espncdn.com/i/teamlogos/ncaa/500/68.png,CFB,56
77,Northwestern Wildcats,Northwestern,Wildcats,Northwestern,NU,582c83,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/77.png,CFB,57
84,Indiana Hoosiers,Indiana,Hoosiers,Indiana,IU,990000,edebeb,https://a.espncdn.com/i/teamlogos/ncaa/500/84.png,CFB,58
87,Notre Dame Fighting Irish,Notre Dame,Fighting Irish,Notre Dame,ND,0c2340,c99700,https://a.espncdn.com/i/teamlogos/ncaa/500/87.png,CFB,59
96,Kentucky Wildcats,Kentucky,Wildcats,Kentucky,UK,0033a0,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/96.png,CFB,60
97,Louisville Cardinals,Louisville,Cardinals,Louisville,LOU,c9001f,000000,https://a.espncdn.com/i/teamlogos/ncaa/500/97.png,CFB,61
98,Western Kentucky Hilltoppers,Western Kentucky,Hilltoppers,Western KY,WKU,F32026,b3b5b8,https://a.espncdn.com/i/teamlogos/ncaa/500/98.png,CFB,62
99,LSU Tigers,LSU,Tigers,LSU,LSU,461d7c,fdd023,https://a.espncdn.com/i/teamlogos/ncaa/500/99.png,CFB,63
103,Boston College Eagles,Boston College,Eagles,Boston College,BC,8c2232,dbcca6,https://a.espncdn.com/i/teamlogos/ncaa/500/103.png,CFB,64
113,Massachusetts Minutemen,Massachusetts,Minutemen,UMass,MASS,880007,,https://a.espncdn.com/i/teamlogos/ncaa/500/113.png,CFB,65
120,Maryland Terrapins,Maryland,Terrapins,Maryland,MD,D5002B,ffcd00,https://a.espncdn.com/i/teamlogos/ncaa/500/120.png,CFB,66
127,Michigan State Spartans,Michigan State,Spartans,Michigan St,MSU,18453b,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/127.png,CFB,67
130,Michigan Wolverines,Michigan,Wolverines,Michigan,MICH,00274c,ffcb05,https://a.espncdn.com/i/teamlogos/ncaa/500/130.png,CFB,68
135,Minnesota Golden Gophers,Minnesota,Golden Gophers,Minnesota,MINN,5e0a2f,fab41c,https://a.espncdn.com/i/teamlogos/ncaa/500/135.png,CFB,69
142,Missouri Tigers,Missouri,Tigers,Missouri,MIZ,f1b82d,000000,https://a.espncdn.com/i/teamlogos/ncaa/500/142.png,CFB,70
145,Ole Miss Rebels,Ole Miss,Rebels,Ole Miss,MISS,13294b,c8102e,https://a.espncdn.com/i/teamlogos/ncaa/500/145.png,CFB,71
150,Duke Blue Devils,Duke,Blue Devils,Duke,DUKE,013088,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/150.png,CFB,72
151,East Carolina Pirates,East Carolina,Pirates,East Carolina,ECU,4b1869,f0907b,https://a.espncdn.com/i/teamlogos/ncaa/500/151.png,CFB,73
152,NC State Wolfpack,NC State,Wolfpack,NC State,NCSU,cc0000,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/152.png,CFB,74
153,North Carolina Tar Heels,North Carolina,Tar Heels,North Carolina,UNC,7bafd4,13294b,https://a.espncdn.com/i/teamlogos/ncaa/500/153.png,CFB,75
154,Wake Forest Demon Deacons,Wake Forest,Demon Deacons,Wake Forest,WAKE,000000,ceb888,https://a.espncdn.com/i/teamlogos/ncaa/500/154.png,CFB,76
158,Nebraska Cornhuskers,Nebraska,Cornhuskers,Nebraska,NEB,d00000,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/158.png,CFB,77
164,Rutgers Scarlet Knights,Rutgers,Scarlet Knights,Rutgers,RUTG,d21034,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/164.png,CFB,78
166,New Mexico State Aggies,New Mexico State,Aggies,New Mexico St,NMSU,891216,000000,https://a.espncdn.com/i/teamlogos/ncaa/500/166.png,CFB,79
167,New Mexico Lobos,New Mexico,Lobos,New Mexico,UNM,000000,231f20,https://a.espncdn.com/i/teamlogos/ncaa/500/167.png,CFB,80
183,Syracuse Orange,Syracuse,Orange,Syracuse,SYR,ff6500,000e54,https://a.espncdn.com/i/teamlogos/ncaa/500/183.png,CFB,81
189,Bowling Green Falcons,Bowling Green,Falcons,Bowling Green,BGSU,2b1000,492000,https://a.espncdn.com/i/teamlogos/ncaa/500/189.png,CFB,82
193,Miami (OH) RedHawks,Miami (OH),RedHawks,Miami OH,M-OH,a4000c,f0f0f0,https://a.espncdn.com/i/teamlogos/ncaa/500/193.png,CFB,83
194,Ohio State Buckeyes,Ohio State,Buckeyes,Ohio State,OSU,ce1141,505056,https://a.espncdn.com/i/teamlogos/ncaa/500/194.png,CFB,84
195,Ohio Bobcats,Ohio,Bobcats,Ohio,OHIO,295A29,e4bb85,https://a.espncdn.com/i/teamlogos/ncaa/500/195.png,CFB,85
197,Oklahoma State Cowboys,Oklahoma State,Cowboys,Oklahoma St,OKST,000000,dddddd,https://a.espncdn.com/i/teamlogos/ncaa/500/197.png,CFB,86
201,Oklahoma Sooners,Oklahoma,Sooners,Oklahoma,OU,a32036,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/201.png,CFB,87
202,Tulsa Golden Hurricane,Tulsa,Golden Hurricane,Tulsa,TLSA,003595,d0b787,https://a.espncdn.com/i/teamlogos/ncaa/500/202.png,CFB,88
204,Oregon State Beavers,Oregon State,Beavers,Oregon St,ORST,231f20,d73f09,https://a.espncdn.com/i/teamlogos/ncaa/500/204.png,CFB,89
213,Penn State Nittany Lions,Penn State,Nittany Lions,Penn State,PSU,00265D,002e5c,https://a.espncdn.com/i/teamlogos/ncaa/500/213.png,CFB,90
218,Temple Owls,Temple,Owls,Temple,TEM,A80532,a7a9ac,https://a.espncdn.com/i/teamlogos/ncaa/500/218.png,CFB,91
221,Pittsburgh Panthers,Pittsburgh,Panthers,Pitt,PITT,003263,231f20,https://a.espncdn.com/i/teamlogos/ncaa/500/221.png,CFB,92
228,Clemson Tigers,Clemson,Tigers,Clemson,CLEM,f56600,522d80,https://a.espncdn.com/i/teamlogos/ncaa/500/228.png,CFB,93
235,Memphis Tigers,Memphis,Tigers,Memphis,MEM,004991,8e908f,https://a.espncdn.com/i/teamlogos/ncaa/500/235.png,CFB,94
238,Vanderbilt Commodores,Vanderbilt,Commodores,Vanderbilt,VAN,000000,231f20,https://a.espncdn.com/i/teamlogos/ncaa/500/238.png,CFB,95
239,Baylor Bears,Baylor,Bears,Baylor,BAY,154734,ffb81c,https://a.espncdn.com/i/teamlogos/ncaa/500/239.png,CFB,96
242,Rice Owls,Rice,Owls,Rice,RICE,d1d5d8,003d7d,https://a.espncdn.com/i/teamlogos/ncaa/500/242.png,CFB,97
245,Texas A&M Aggies,Texas A&M,Aggies,Texas A&M,TA&M,500000,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/245.png,CFB,98
248,Houston Cougars,Houston,Cougars,Houston,HOU,c92a39,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/248.png,CFB,99
249,North Texas Mean Green,North Texas,Mean Green,North Texas,UNT,ffffff,000000,https://a.espncdn.com/i/teamlogos/ncaa/500/249.png,CFB,100
251,Texas Longhorns,Texas,Longhorns,Texas,TEX,c15d26,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/251.png,CFB,101
252,BYU Cougars,BYU,Cougars,BYU,BYU,003da5,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/252.png,CFB,102
254,Utah Utes,Utah,Utes,Utah,UTAH,ea002a,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/254.png,CFB,103
256,James Madison Dukes,James Madison,Dukes,James Madison,JMU,450084,b5a068,https://a.espncdn.com/i/teamlogos/ncaa/500/256.png,CFB,104
258,Virginia Cavaliers,Virginia,Cavaliers,Virginia,UVA,232d4b,f84c1e,https://a.espncdn.com/i/teamlogos/ncaa/500/258.png,CFB,105
259,Virginia Tech Hokies,Virginia Tech,Hokies,Virginia Tech,VT,630031,cf4520,https://a.espncdn.com/i/teamlogos/ncaa/500/259.png,CFB,106
264,Washington Huskies,Washington,Huskies,Washington,WASH,33006f,e8d3a2,https://a.espncdn.com/i/teamlogos/ncaa/500/264.png,CFB,107
265,Washington State Cougars,Washington State,Cougars,Washington St,WSU,981e32,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/265.png,CFB,108
275,Wisconsin Badgers,Wisconsin,Badgers,Wisconsin,WIS,c4012f,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/275.png,CFB,109
276,Marshall Thundering Herd,Marshall,Thundering Herd,Marshall,MRSH,00ae42,be854c,https://a.espncdn.com/i/teamlogos/ncaa/500/276.png,CFB,110
277,West Virginia Mountaineers,West Virginia,Mountaineers,West Virginia,WVU,002855,eaaa00,https://a.espncdn.com/i/teamlogos/ncaa/500/277.png,CFB,111
278,Fresno State Bulldogs,Fresno State,Bulldogs,Fresno St,FRES,c41230,13284c,https://a.espncdn.com/i/teamlogos/ncaa/500/278.png,CFB,112
290,Georgia Southern Eagles,Georgia Southern,Eagles,GA Southern,GASO,003775,f0f0f0,https://a.espncdn.com/i/teamlogos/ncaa/500/290.png,CFB,113
295,Old Dominion Monarchs,Old Dominion,Monarchs,Old Dominion,ODU,00507d,a1d2f1,https://a.espncdn.com/i/teamlogos/ncaa/500/295.png,CFB,114
309,Louisiana Ragin' Cajuns,Louisiana,Ragin' Cajuns,Louisiana,UL,ce181e,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/309.png,CFB,115
324,Coastal Carolina Chanticleers,Coastal Carolina,Chanticleers,Coastal,CCU,007073,876447,https://a.espncdn.com/i/teamlogos/ncaa/500/324.png,CFB,116
326,Texas State Bobcats,Texas State,Bobcats,Texas St,TXST,4e1719,b4975a,https://a.espncdn.com/i/teamlogos/ncaa/500/326.png,CFB,117
328,Utah State Aggies,Utah State,Aggies,Utah State,USU,00263a,949ca1,https://a.espncdn.com/i/teamlogos/ncaa/500/328.png,CFB,118
333,Alabama Crimson Tide,Alabama,Crimson Tide,Alabama,ALA,9e1632,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/333.png,CFB,119
338,Kennesaw State Owls,Kennesaw State,Owls,Kennesaw St,KENN,fdbb30,000000,https://a.espncdn.com/i/teamlogos/ncaa/500/338.png,CFB,120
344,Mississippi State Bulldogs,Mississippi State,Bulldogs,Mississippi St,MSST,5d1725,c1c6c8,https://a.espncdn.com/i/teamlogos/ncaa/500/344.png,CFB,121
349,Army Black Knights,Army,Black Knights,Army,ARMY,ce9c00,231f20,https://a.espncdn.com/i/teamlogos/ncaa/500/349.png,CFB,122
356,Illinois Fighting Illini,Illinois,Fighting Illini,Illinois,ILL,ff5f05,13294b,https://a.espncdn.com/i/teamlogos/ncaa/500/356.png,CFB,123
2005,Air Force Falcons,Air Force,Falcons,Air Force,AFA,003594,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/2005.png,CFB,124
2006,Akron Zips,Akron,Zips,Akron,AKR,00285e,84754e,https://a.espncdn.com/i/teamlogos/ncaa/500/2006.png,CFB,125
2026,App State Mountaineers,App State,Mountaineers,App State,APP,000000,ffcd00,https://a.espncdn.com/i/teamlogos/ncaa/500/2026.png,CFB,126
2032,Arkansas State Red Wolves,Arkansas State,Red Wolves,Arkansas St,ARST,e81018,000000,https://a.espncdn.com/i/teamlogos/ncaa/500/2032.png,CFB,127
2050,Ball State Cardinals,Ball State,Cardinals,Ball State,BALL,DA0000,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/2050.png,CFB,128
2084,Buffalo Bulls,Buffalo,Bulls,Buffalo,BUFF,041A9B,ebebeb,https://a.espncdn.com/i/teamlogos/ncaa/500/2084.png,CFB,129
2116,UCF Knights,UCF,Knights,UCF,UCF,000000,b4a269,https://a.espncdn.com/i/teamlogos/ncaa/500/2116.png,CFB,130
2117,Central Michigan Chippewas,Central Michigan,Chippewas,C Michigan,CMU,6a0032,ffc82e,https://a.espncdn.com/i/teamlogos/ncaa/500/2117.png,CFB,131
2132,Cincinnati Bearcats,Cincinnati,Bearcats,Cincinnati,CIN,000000,717073,https://a.espncdn.com/i/teamlogos/ncaa/500/2132.png,CFB,132
2199,Eastern Michigan Eagles,Eastern Michigan,Eagles,E Michigan,EMU,00331b,f0f0f0,https://a.espncdn.com/i/teamlogos/ncaa/500/2199.png,CFB,133
2226,Florida Atlantic Owls,Florida Atlantic,Owls,FAU,FAU,00447c,d31245,https://a.espncdn.com/i/teamlogos/ncaa/500/2226.png,CFB,134
2229,Florida International Panthers,Florida International,Panthers,FIU,FIU,001538,c5960c,https://a.espncdn.com/i/teamlogos/ncaa/500/2229.png,CFB,135
2247,Georgia State Panthers,Georgia State,Panthers,Georgia St,GAST,1e539a,ebebeb,https://a.espncdn.com/i/teamlogos/ncaa/500/2247.png,CFB,136
2294,Iowa Hawkeyes,Iowa,Hawkeyes,Iowa,IOWA,000000,fcd116,https://a.espncdn.com/i/teamlogos/ncaa/500/2294.png,CFB,137
2305,Kansas Jayhawks,Kansas,Jayhawks,Kansas,KU,0051ba,e8000d,https://a.espncdn.com/i/teamlogos/ncaa/500/2305.png,CFB,138
2306,Kansas State Wildcats,Kansas State,Wildcats,Kansas St,KSU,3c0969,e2e3e4,https://a.espncdn.com/i/teamlogos/ncaa/500/2306.png,CFB,139
2309,Kent State Golden Flashes,Kent State,Golden Flashes,Kent State,KENT,003976,efab00,https://a.espncdn.com/i/teamlogos/ncaa/500/2309.png,CFB,140
2335,Liberty Flames,Liberty,Flames,Liberty,LIB,071740,a61f21,https://a.espncdn.com/i/teamlogos/ncaa/500/2335.png,CFB,141
2348,Louisiana Tech Bulldogs,Louisiana Tech,Bulldogs,Louisiana Tech,LT,002d65,d3313a,https://a.espncdn.com/i/teamlogos/ncaa/500/2348.png,CFB,142
2390,Miami Hurricanes,Miami,Hurricanes,Miami,MIA,005030,f47321,https://a.espncdn.com/i/teamlogos/ncaa/500/2390.png,CFB,143
2393,Middle Tennessee Blue Raiders,Middle Tennessee,Blue Raiders,MTSU,MTSU,006db6,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/2393.png,CFB,144
2426,Navy Midshipmen,Navy,Midshipmen,Navy,NAVY,00225b,b5a67c,https://a.espncdn.com/i/teamlogos/ncaa/500/2426.png,CFB,145
2429,Charlotte 49ers,Charlotte,49ers,Charlotte,CLT,ffffff,cfab7a,https://a.espncdn.com/i/teamlogos/ncaa/500/2429.png,CFB,146
2433,UL Monroe Warhawks,UL Monroe,Warhawks,UL Monroe,ULM,231F20,b18445,https://a.espncdn.com/i/teamlogos/ncaa/500/2433.png,CFB,147
2439,UNLV Rebels,UNLV,Rebels,UNLV,UNLV,b10202,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/2439.png,CFB,148
2440,Nevada Wolf Pack,Nevada,Wolf Pack,Nevada,NEV,002d62,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/2440.png,CFB,149
2459,Northern Illinois Huskies,Northern Illinois,Huskies,N Illinois,NIU,F1122C,cc0000,https://a.espncdn.com/i/teamlogos/ncaa/500/2459.png,CFB,150
2483,Oregon Ducks,Oregon,Ducks,Oregon,ORE,007030,fee11a,https://a.espncdn.com/i/teamlogos/ncaa/500/2483.png,CFB,151
2509,Purdue Boilermakers,Purdue,Boilermakers,Purdue,PUR,000000,cfb991,https://a.espncdn.com/i/teamlogos/ncaa/500/2509.png,CFB,152
2534,Sam Houston Bearkats,Sam Houston,Bearkats,Sam Houston,SHSU,fe5000,000000,https://a.espncdn.com/i/teamlogos/ncaa/500/2534.png,CFB,153
2567,SMU Mustangs,SMU,Mustangs,SMU,SMU,354ca1,cc0035,https://a.espncdn.com/i/teamlogos/ncaa/500/2567.png,CFB,154
2572,Southern Miss Golden Eagles,Southern Miss,Golden Eagles,Southern Miss,USM,FFAA3C,ffc423,https://a.espncdn.com/i/teamlogos/ncaa/500/2572.png,CFB,155
2579,South Carolina Gamecocks,South Carolina,Gamecocks,South Carolina,SC,73000a,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/2579.png,CFB,156
2623,Missouri State Bears,Missouri State,Bears,Missouri St,MOST,5F0000,e8e8e8,https://a.espncdn.com/i/teamlogos/ncaa/500/2623.png,CFB,157
2628,TCU Horned Frogs,TCU,Horned Frogs,TCU,TCU,4d1979,f1f2f3,https://a.espncdn.com/i/teamlogos/ncaa/500/2628.png,CFB,158
2633,Tennessee Volunteers,Tennessee,Volunteers,Tennessee,TENN,ff8200,58595b,https://a.espncdn.com/i/teamlogos/ncaa/500/2633.png,CFB,159
2636,UTSA Roadrunners,UTSA,Roadrunners,UTSA,UTSA,002A5C,f47321,https://a.espncdn.com/i/teamlogos/ncaa/500/2636.png,CFB,160
2638,UTEP Miners,UTEP,Miners,UTEP,UTEP,ff8200,041e42,https://a.espncdn.com/i/teamlogos/ncaa/500/2638.png,CFB,161
2641,Texas Tech Red Raiders,Texas Tech,Red Raiders,Texas Tech,TTU,000000,da291c,https://a.espncdn.com/i/teamlogos/ncaa/500/2641.png,CFB,162
2649,Toledo Rockets,Toledo,Rockets,Toledo,TOL,0a2240,ffcd00,https://a.espncdn.com/i/teamlogos/ncaa/500/2649.png,CFB,163
2653,Troy Trojans,Troy,Trojans,Troy,TROY,AE0210,88898c,https://a.espncdn.com/i/teamlogos/ncaa/500/2653.png,CFB,164
2655,Tulane Green Wave,Tulane,Green Wave,Tulane,TULN,006547,468ac9,https://a.espncdn.com/i/teamlogos/ncaa/500/2655.png,CFB,165
2711,Western Michigan Broncos,Western Michigan,Broncos,W Michigan,WMU,532e1f,8b7f79,https://a.espncdn.com/i/teamlogos/ncaa/500/2711.png,CFB,166
2751,Wyoming Cowboys,Wyoming,Cowboys,Wyoming,WYO,492f24,ffc425,https://a.espncdn.com/i/teamlogos/ncaa/500/2751.png,CFB,167
1,Atlanta Hawks,Atlanta,Hawks,Hawks,ATL,c8102e,fdb927,https://a.espncdn.com/i/teamlogos/nba/500/atl.png,NBA,168
2,Boston Celtics,Boston,Celtics,Celtics,BOS,008348,ffffff,https://a.espncdn.com/i/teamlogos/nba/500/bos.png,NBA,169
3,New Orleans Pelicans,New Orleans,Pelicans,Pelicans,NO,0a2240,b4975a,https://a.espncdn.com/i/teamlogos/nba/500/no.png,NBA,170
4,Chicago Bulls,Chicago,Bulls,Bulls,CHI,ce1141,000000,https://a.espncdn.com/i/teamlogos/nba/500/chi.png,NBA,171
5,Cleveland Cavaliers,Cleveland,Cavaliers,Cavaliers,CLE,860038,bc945c,https://a.espncdn.com/i/teamlogos/nba/500/cle.png,NBA,172
6,Dallas Mavericks,Dallas,Mavericks,Mavericks,DAL,0064b1,bbc4ca,https://a.espncdn.com/i/teamlogos/nba/500/dal.png,NBA,173
7,Denver Nuggets,Denver,Nuggets,Nuggets,DEN,0e2240,fec524,https://a.espncdn.com/i/teamlogos/nba/500/den.png,NBA,174
8,Detroit Pistons,Detroit,Pistons,Pistons,DET,1d428a,c8102e,https://a.espncdn.com/i/teamlogos/nba/500/det.png,NBA,175
