espn_team_id,display_name,location,name,short_display_name,abbreviation,color,alternate_color,logo_url,league_id,id
248,"Houston Cougars",Houston,Cougars,Houston,HOU,c92a39,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/248.png,3,99
249,"North Texas Mean Green","North Texas","Mean Green","North Texas",UNT,ffffff,000000,https://a.espncdn.com/i/teamlogos/ncaa/500/249.png,3,100
251,"Texas Longhorns",Texas,Longhorns,Texas,TEX,c15d26,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/251.png,3,101
252,"BYU Cougars",BYU,Cougars,BYU,BYU,003da5,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/252.png,3,102
254,"Utah Utes",Utah,Utes,Utah,UTAH,ea002a,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/254.png,3,103
256,"James Madison Dukes","James Madison",Dukes,"James Madison",JMU,450084,b5a068,https://a.espncdn.com/i/teamlogos/ncaa/500/256.png,3,104
258,"Virginia Cavaliers",Virginia,Cavaliers,Virginia,UVA,232d4b,f84c1e,https://a.espncdn.com/i/teamlogos/ncaa/500/258.png,3,105
259,"Virginia Tech Hokies","Virginia Tech",Hokies,"Virginia Tech",VT,630031,cf4520,https://a.espncdn.com/i/teamlogos/ncaa/500/259.png,3,106
264,"Washington Huskies",Washington,Huskies,Washington,WASH,33006f,e8d3a2,https://a.espncdn.com/i/teamlogos/ncaa/500/264.png,3,107
265,"Washington State Cougars","Washington State",Cougars,"Washington St",WSU,981e32,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/265.png,3,108
275,"Wisconsin Badgers",Wisconsin,Badgers,Wisconsin,WIS,c4012f,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/275.png,3,109
276,"Marshall Thundering Herd",Marshall,"Thundering Herd",Marshall,MRSH,00ae42,be854c,https://a.espncdn.com/i/teamlogos/ncaa/500/276.png,3,110
277,"West Virginia Mountaineers","West Virginia",Mountaineers,"West Virginia",WVU,002855,eaaa00,https://a.espncdn.com/i/teamlogos/ncaa/500/277.png,3,111
